"","NT","NT","NT","T","T","T","T","T","T","T","T","T","T"
"ABCA9",13.5161058205279,198.430097595204,97.6402220648247,93.9986601315704,32.3032056041121,18.0440647762326,15.9464508190443,164.739523835076,10.830713703761,4.33457585151336,2.59812290847022,87.2991224763919,13.5161058205279
"ABCA9-AS1",0,0,0.473981660508858,0,0.45497472681848,0,3.28309281568559,0,0,0,0,1.38570035676813,0
"ABCB1",997.939146415645,27.5195025861961,1.42194498152657,114.887251271919,207.468475429227,39.0954736818374,86.7674529859763,76.1920297737228,783.195984703217,10.8364396287834,130.425770005205,41.5710107030438,997.939146415645
"ABCB10",564.297418007041,340.372795145057,17.0633397783189,73.1100689912214,62.3315375741317,0.601468825874421,57.6886309041896,35.0071488149537,26.6255045217458,46.9579050580614,1.03924916338809,24.9426064218263,564.297418007041
"ABCB11",834.619534417599,499.696231170404,0,6.96286371344966,0,4.81175060699537,1.40703977815097,32.9479047670152,17.82554963744,5.05700516009892,2.59812290847022,0,834.619534417599
"ABCB4",1421.44379545885,307.059713067031,91.9524421387184,323.773162675409,373.079275991153,180.440647762326,254.205186585941,59.7180773902151,453.987416082648,14.4485861717112,1136.93858474657,91.4562235466963,1421.44379545885
"ABCB5",0,0,0.473981660508858,13.9257274268993,0,0,0,0,1.35383921297012,0.72242930858556,0,13.8570035676813,0
"ABCB6",63.075160495797,2.89678974591538,91.4784604782095,139.257274268993,1.81989890727392,138.939298776991,371.458501431855,18.5331964314461,18.7281091127534,20.2280206403957,5.19624581694044,13.8570035676813,63.075160495797
"ABCB7",264.690405652005,0,0.947963321017715,0,101.459364080521,3.60881295524652,113.032195511461,12.3554642876307,12.6358326543878,155.322301345895,355.423213878726,20.7855053515219,264.690405652005
"ABCB8",201.615245156208,86.9036923774615,37.9185328407086,93.9986601315704,56.87184085231,176.83183480708,0.938026518767311,51.4811011984613,0.225639868828354,49.1251929838181,88.3361788879875,24.9426064218263,201.615245156208
"ABCB9",1.12634215171066,0,41.7103861247795,10.4442955701745,7.27959562909568,2.40587530349768,7.97322540952214,8.23697619175381,11.0563535725893,0,32.2167240650308,33.256808562435,1.12634215171066
