"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIF12",880.388821267728,0.551399636138848,0.295033153226284,1.86894127018985,0.0616309857001455,0.109262127290309
"KIF13A",1418.1867182401,-0.202129565082674,0.116239201671267,-1.73891047234057,0.0820505118720214,0.138670640816164
"KIF13B",1392.14842062173,0.0152669691209757,0.113654187820387,0.134328258498515,0.893143008685873,0.924722367586185
"KIF14",156.834866348801,2.09012926132446,0.317989850035439,6.5729433222209,4.93302399108779e-11,8.58960857249427e-10
"KIF15",157.895505022664,2.85830660134459,0.380319230110988,7.51554582320346,5.66739811366398e-14,2.12085564324724e-12
"KIF16B",587.392403844832,0.0444152029089287,0.142523645856031,0.311633923214357,0.755318750198602,0.819493006665108
"KIF17",48.4236834312336,0.105226784751352,0.225001522087589,0.4676714351754,0.640019571413733,0.725484758047223
"KIF18A",86.3602323321558,2.59892649337352,0.356454280840136,7.29105142810474,3.0754533266838e-13,9.53897560029918e-12
"KIF18B",277.110507381721,2.26529881492121,0.307749444498954,7.36085427744424,1.82736966349919e-13,5.99502151566101e-12
"KIF19",40.435157155618,-1.73811050097374,0.265828138938503,-6.53847447420092,6.21494897193558e-11,1.05797886161423e-09
"KIF1A",57.6725348536091,0.42811284540455,0.394969122172585,1.08391471983849,0.278402612436279,0.380287117906109
"KIF1B",1736.10482123707,-0.0208150204883752,0.113543069544671,-0.18332268602432,0.854544835149878,0.895398974481461
"KIF1C",3956.80869253595,0.176548737639515,0.115520631225891,1.52828750817929,0.126441170049092,0.198966188690321
"KIF1C-AS1",7.83219850422575,0.116954974673845,0.262028343134444,0.446344747575025,0.655348237625425,0.737916564433826
"KIF20A",228.096420875118,2.9543508737383,0.393558731058985,7.50675983172513,6.06087737515828e-14,2.23776106297859e-12
"KIF20B",252.80699951282,1.32791007427239,0.217678808025018,6.10031856716054,1.05857276733592e-09,1.31887140007127e-08
"KIF21A",1251.32652937447,-0.354851545769685,0.190141529226949,-1.8662495626936,0.0620064577773718,0.109783803396429
"KIF21B",240.070082852899,1.22370370696498,0.237327776709358,5.15617566528496,2.52044458424113e-07,1.78476253930276e-06
"KIF22",711.31587546048,0.0119956772847098,0.204727146038632,0.0585934865835829,0.953275898724596,0.96791807624467
"KIF23",189.586207439249,2.05687775443872,0.281906480320074,7.29631242284094,2.95761693397059e-13,9.22333676343739e-12
"KIF24",50.8896838975881,1.55605578617583,0.25657728614609,6.06466694518641,1.32227369130887e-09,1.61652717776348e-08
"KIF25",12.2358153749838,-0.269286399738079,0.329532852137066,-0.817176187417186,0.41382774872146,0.520384033718027
"KIF25-AS1",4.09209458531236,0.10816249416527,0.574377185718652,0.188312657352397,0.850631563723936,0.89263756157133
"KIF26A",156.82004708278,0.922000157869702,0.296106545917108,3.11374459829674,0.00184729320678925,0.00513553093839082
