"",gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
ENSG00000005810,MYCBP2,204.5195,616.7082,122.4793,42.2908,0,0,43.8435,1.0326,1.3205,22.537,201.2077,13.312,111.3315
ENSG00000005812,FBXL3,144.9525,313.565,1114.4078,799.2329,2.8766,5.5014,66.6204,53.2324,2.2875,160.5298,87.5006,1.2081,31.7942
ENSG00000005844,ITGAL,12.955,159.4553,0.5975,5.729,146.764,0,27.3197,2759.4965,0.872,204.5381,181.8302,441.0264,158.0897
ENSG00000005882,PDK2,9.9355,247.395,113.3261,117.3923,24.7478,420.2973,21.9609,446.4677,176.3552,48.5982,36.4087,8.8882,56.9238
ENSG00000005884,ITGA3,0,55.1583,15.425,92.5443,4.8104,138.6869,2.0012,1014.7456,130.477,407.479,5.9269,5.0747,26.1452
ENSG00000005889,ZFX,47.7466,661.6196,3.983,41.6237,0,322.2147,361.6082,41.7416,86.894,2744.2864,18.9123,6.8386,290.5671
ENSG00000005893,LAMP2,6.2445,458.2379,30.983,164.8703,0,1071.9698,344.5695,1602.7978,118.9493,1443.5968,1503.2129,1791.3236,50.9098
ENSG00000005961,ITGA2B,0,8.5121,0,0,0,15.8829,102.3387,6.6371,0,3.1616,3.9782,0.4702,3.9635
ENSG00000005981,ASB4,0.3484,11.4842,11.0666,306.9865,6.6687,1252.4772,2.0342,83.3642,53.8269,11.9948,29.4773,1.5279,194.6698
ENSG00000006007,GDE1,15.1908,3.4452,27.5589,92.6745,115.5717,21.638,332.6813,83.8725,0.5791,872.2429,20.6652,411.1473,28.197
ENSG00000006015,C19orf60,6.6381,0.9586,22.4125,274.7415,4.44,290.8966,26.6318,5119.815,7.3264,28.7187,618.1775,2.0404,16.0557
ENSG00000006016,CRLF1,0,0,0,259.6665,1.1246,43.307,2.1871,241.7742,0.2449,55.7367,18.0083,28.0142,2.5072
ENSG00000006025,OSBPL7,0,4.7625,6.51,62.947,13.9206,117.2789,0,185.0075,7.565,14.04,128.3616,0.7652,37.3177
ENSG00000006042,TMEM98,15.1575,0.8693,0.9198,902.3454,21.8279,334.1557,7.8895,322.9236,250.9905,549.2015,114.4068,420.2489,44.076
ENSG00000006047,YBX2,0,4.642,0,0,1.9826,0,7.4203,1.2093,0,8.5311,0,13.0524,2.7169
ENSG00000006059,KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062,MAP3K14,0,258.0154,61,49.5609,12.2116,112.1067,17.7145,72.1336,51.8448,492.9412,230.0855,21.958,25.3716
ENSG00000006071,ABCC8,5.1997,0,0,15.8153,0,4.3995,0,1.7595,0,0,0,0,2.2869
ENSG00000006116,CACNG3,0,0,0,0,0,0.6596,0,0,0,7.3086,0,0,0
ENSG00000006118,TMEM132A,0,0.9356,20.6596,825.9392,4.1721,577.9554,491.224,13.8303,0.574,1478.3889,18.9316,1461.7022,26.5418
ENSG00000006125,AP2B1,637.484,14.3872,517.2565,246.9521,154.628,1395.2021,2406.0092,71.7256,19.4596,2256.4654,68.2823,1493.6746,185.3559
ENSG00000006128,TAC1,0,1.0644,0,0,0,11.1339,9.4699,450.8008,2.9041,0,0,92.9732,1.1299
ENSG00000006194,ZNF263,0,3.8038,7.1351,287.1937,73.0185,37.0637,333.9237,19.5234,1.8836,121.4123,209.6382,83.5681,40.5326
ENSG00000006210,CX3CL1,0,0.7913,1.4005,385.8749,23.9328,80.0802,41.2609,2.8763,120.4416,449.3344,4.0959,139.8262,36.3773
ENSG00000006282,SPATA20,7.0167,185.154,2.8808,460.264,20.8961,1049.4879,778.3573,1755.3955,122.3035,128.5529,78.1523,1058.6102,37.7201
ENSG00000006283,CACNA1G,0,2.9185,0,45.8736,2.9987,8.3785,1.8264,19.0937,0,11.0477,7.6249,1.6095,8.1399
ENSG00000006327,TNFRSF12A,0,1.3115,0.9612,1901.1198,7.1614,46.7697,74.0416,508.2192,526.2746,2871.8487,356.7076,15.1124,8.3495
ENSG00000006377,DLX6,0,0,0,0.9124,5.4713,37.3378,0,86.1108,0,0,6.9006,7.7067,5.7202
ENSG00000006432,MAP3K9,1.8546,2.2663,2.3398,1.4923,0,88.6366,2.6232,75.4171,2.0501,6.0035,158.2176,0.4756,0
ENSG00000006451,RALA,46.437,24.6496,402.8823,188.4479,45.9105,490.0552,1376.6602,986.387,10.1132,37.9834,818.1431,65.0633,22.8366
ENSG00000006453,BAIAP2L1,46.4717,379.7113,4.5019,0.9189,96.2393,166.6965,116.4114,102.7335,32.0359,532.0134,162.0913,213.0826,39.9639
ENSG00000006459,KDM7A,29.931,798.3835,1.4393,74.1323,65.6496,114.1991,26.9352,8.0678,2658.7577,274.7723,8.0993,6.6154,87.2545
ENSG00000006468,ETV1,10.3133,9.3947,676.8697,573.8107,178.0481,0,586.0328,31.8295,30.1757,146.1749,1.4862,533.3682,332.9013
ENSG00000006530,AGK,119.2535,125.8743,4.1594,160.1889,24.8852,205.8989,130.7682,56.1589,550.0703,6.4277,4.2209,0,18.4927
ENSG00000006534,ALDH3B1,2.0732,6.7842,0.9878,46.1148,10.7197,1.3869,1.3426,30.7977,81.2782,475.4655,7.23,9.0652,4.3766
ENSG00000006555,TTC22,13.354,36.8563,17.6889,1.4708,5.0098,23.6344,132.0454,0,0,283.6177,39.6188,0,3.8701
ENSG00000006576,PHTF2,14.0005,235.9007,55.8677,3.3076,105.0469,37.4986,194.3284,192.5804,330.5565,669.2394,0.7938,16.2583,40.2612
ENSG00000006606,CCL26,0,0,0.7632,4.7509,0,24.6355,0,19.1151,0,9.1948,10.5743,1.4331,1.0581
ENSG00000006607,FARP2,159.3958,81.1684,239.7705,18.7336,59.1631,171.9926,103.5126,9.9679,285.3975,674.8957,307.1756,59.4255,149.8749
ENSG00000006611,USH1C,5.0585,0,0,217.7901,4.7829,318.2902,2.9408,0,15.8391,0.8669,5.9174,0.747,18.2949
ENSG00000006625,GGCT,16.917,0,249.8098,7.6231,6.056,299.0056,61.9146,575.1159,2.7814,21.3771,12.436,159.2363,4.7101
ENSG00000006634,DBF4,6.2035,190.7186,8.108,1.9709,27.2826,80.7582,1.7938,16.8162,1.3022,200.9068,1.1059,124.3537,15.0214
