gene,adj_p-value,effect size
MAP3K4,2.9773671425936702e-18,1.239660979306195
XRCC1,1.675976201289559e-17,1.239482560980631
FSD1L,3.407427838264765e-17,1.2387446979891379
RNMT,2.816724913365883e-18,1.2386362605299133
LYRM4,2.5958654157905343e-17,1.2383461428550533
SMYD4,8.500823302909795e-18,1.2379834856737568
ADCK2,8.261273255448966e-18,1.2379521318836615
EPHB2,1.1460495448564637e-17,1.2378976722189836
DROSHA,6.5674492057957574e-18,1.237704773069623
ASAP2,2.708897701541087e-18,1.2375000251785477
CHD4,1.1150451337026593e-17,1.237014848657355
MAGEE1,3.0699272784859146e-17,1.236690039867927
FAM3B,4.616834827819605e-17,1.2362375600936726
CS,1.5138792922399534e-17,1.2360372526241539
CTCF,6.67866646270283e-18,1.2358265723502846
C12orf65,5.0641640636967805e-18,1.2349946159230691
CCDC115,8.4446141706937e-18,1.234860121766311
PTPRG,1.2803166010725964e-17,1.2343160468827237
PXYLP1,2.967977326178034e-17,1.2341382577124016
ATP6AP1,3.770860922767275e-18,1.233764989319056
EIF4ENIF1,4.2126605892686255e-18,1.2336131704451234
ORMDL1,9.157544330964273e-18,1.2332927188868246
ZNF7,3.888793848004133e-18,1.2328119039098797
SRGAP2,1.4782257451260815e-17,1.2327462834858982
RUNDC1,3.1669984891597305e-18,1.2322441309676724
FXR1,1.435692641973249e-17,1.2320575467699812
ATP6V1C1,1.925315057496374e-17,1.2317337457269095
EIF2B1,1.3633129070933351e-17,1.2309832664055544
VIPAS39,9.231416838251397e-18,1.2301251161177806
MAPK13,2.5123638086076466e-17,1.2283683483511618
CMIP,2.8047685485136012e-18,1.2278222514327095
ANKRD52,3.065779657408487e-17,1.227657971677272
ATXN2,1.812329642963018e-17,1.2275791728090584
CHD8,1.5183211243619017e-17,1.22737910563486
ADCY6,2.0879057798287682e-17,1.2269224121090516
WIPF2,5.6142433029972686e-18,1.2262921996316747
CIR1,9.904477717661909e-18,1.2260358009602368
FMNL2,8.774157789616646e-17,1.2259834046663989
TUBG2,3.6927240452079256e-17,1.2259114917181997
HARS2,9.750912037295176e-18,1.2256072271044198
SORT1,3.0090924781926446e-17,1.2254699707319603
VPS16,1.3897174647584657e-17,1.2254087492610348
SLC9A6,1.772284406924499e-17,1.224658141999544
RBMX2,1.1952747719792131e-17,1.2238997197154131
NEK9,1.0081651102973154e-17,1.223873824567813
