gene,t-statistic,adj_p-value,effect size
SULT1A3,2.7360052061757876,0.008091050204449503,0.5041941938734155
MMD,2.6596770986111715,0.009385375163266376,0.504244809167364
RAE1,2.734063270881296,0.008114561818806895,0.5042465866290776
TRERF1,2.739320012824315,0.008042983704114489,0.5042800700837686
TRRAP,2.673419071463788,0.009106411860267628,0.5043229092081044
ZNF319,2.660694034637955,0.009359068955337144,0.5044356648600883
KIF11,2.7731158082424496,0.007640032548567082,0.5044588484115087
IQCB1,2.6913488243877954,0.008765734450990407,0.5045715134098758
NR2F2,2.6321555750873897,0.009995140351234609,0.5045771230776747
TCF4,2.72227202599773,0.00826187035291848,0.5046591310715377
PUM1,2.6612005640725434,0.009340242549476099,0.504747136101559
TMEM42,2.647966907199752,0.009625435512912365,0.5047540090561647
E2F7,2.777571505960428,0.0075726900018637565,0.5048296100563445
TSC22D1,2.686677055470672,0.008840165357360335,0.5048427303335271
P2RY6,2.7317167685162707,0.00811370757208655,0.5049390779238911
TIA1,2.696738749242274,0.008657625326290528,0.5049603414909478
ESAM,2.682667002251215,0.008909872260549422,0.5049712719434166
CNTRL,2.645664904699676,0.009671833560255841,0.504996741902496
FASTK,2.6623345071524214,0.009310073502987728,0.5049968217776839
KIAA0100,2.6854163359405985,0.008857892591540644,0.5050032035463949
NPM1,2.758866001238584,0.007757538702331438,0.5051260628897543
AIMP1,2.7040905348389006,0.00852640050429536,0.5051439081146423
PLCB1,2.6638975979795014,0.009272639084926159,0.5051879006268969
TTYH2,2.738563518950782,0.008008198331001665,0.5051896082140207
UBE3B,2.6598487998716602,0.009355721083685375,0.5052495127223033
BRCA1,2.775596163713306,0.007565437594533369,0.5052863023732668
ALCAM,2.70282880238839,0.008541836805948205,0.5052918253679661
QRICH1,2.656130549786808,0.00943184724295854,0.5053848969337484
RIMKLB,2.699578849762663,0.008592086078924562,0.5054211423806088
BANF2,2.7835070131201465,0.0074782629303904195,0.5054254728697223
ZNF426,2.696590094040212,0.008642641546286143,0.5054496871872606
SNORD114-22,2.7516391678483636,0.00782667811818413,0.5054560398166718
SOX17,2.7519590625494335,0.007816598093828592,0.5055756121474659
ABCD2,2.7591871326952995,0.007717009081566218,0.505813277486404
RNASE1,2.7662460297852176,0.007632985101358468,0.505865688234841
POLR1A,2.725208435471307,0.008165529440441213,0.5058726054706163
PCDHGB2,2.784171650380675,0.007427587317060889,0.506161301417924
ECT2,2.7735452530939555,0.007534372214597951,0.5062015852372624
CHGB,2.7774440727530245,0.007492207063233466,0.5062197933350107
PTGES3L-AARSD1,2.66989946139873,0.009120619723802863,0.5062909331628378
DTL,2.7862766167960475,0.0073977613040574425,0.5063171946401736
ZNF436,2.723467390452388,0.008172547850415188,0.506324761652096
CDK16,2.683467436792198,0.008851803122731412,0.5063583575356153
MKRN2,2.6722121428115724,0.009071152565880505,0.5063903220901415
CA8,2.736364355257513,0.007977427218226219,0.5065018787457067
CNOT11,2.6806992313387523,0.008898657545218286,0.5065702118668605
METAP1D,2.6758490095402703,0.008993379121048214,0.5065791121795076
SWAP70,2.7337493889539104,0.0080097693257691,0.5066051673963146
EXT2,2.703096367300895,0.008488485757707151,0.5066413584859154
STOX2,2.718765927922855,0.008228299071730043,0.5067359012123874
MIS18A,2.7759136840187435,0.007478791946719965,0.5067438994756286
CHST12,2.635507229071808,0.009877660560292325,0.5067951844541161
BSG,2.743983148872899,0.00785805717548245,0.5068335765643089
XPO7,2.703684853493195,0.008469349974704611,0.5069025067644203
