Unnamed: 0,Size,Recon3D_metabolites,num_matches,matches
ClusterID:501,1,0,0, NaN
ClusterID:502,1,0,0, NaN
ClusterID:503,1,0,0, NaN
ClusterID:504,1,0,0, NaN
ClusterID:505,1,0,0, NaN
ClusterID:506,1,0,0, NaN
ClusterID:507,1,0,0, NaN
ClusterID:508,1,0,0, NaN
ClusterID:509,1,0,0, NaN
ClusterID:510,1,0,0, NaN
ClusterID:511,1,0,0, NaN
ClusterID:512,1,0,0, NaN
ClusterID:513,1,0,0, NaN
ClusterID:514,1,0,0, NaN
ClusterID:515,1,0,0, NaN
ClusterID:516,1,0,0, NaN
ClusterID:517,1,0,0, NaN
ClusterID:518,1,0,0, NaN
ClusterID:519,1,0,0, NaN
ClusterID:520,1,0,0, NaN
ClusterID:521,1,0,0, NaN
ClusterID:522,1,0,0, NaN
ClusterID:523,1,0,0, NaN
ClusterID:524,1,0,0, NaN
ClusterID:525,1,0,0, NaN
ClusterID:526,1,0,0, NaN
ClusterID:527,1,0,0, NaN
ClusterID:528,1,0,0, NaN
ClusterID:529,1,0,0, NaN
ClusterID:530,1,0,0, NaN
ClusterID:531,1,0,0, NaN
ClusterID:532,1,0,0, NaN
ClusterID:533,1,0,0, NaN
ClusterID:534,1,0,0, NaN
ClusterID:535,1,0,0, NaN
ClusterID:536,1,0,0, NaN
ClusterID:537,1,0,0, NaN
ClusterID:538,1,0,0, NaN
ClusterID:539,1,0,1, ['DPEP1']
ClusterID:540,1,0,0, NaN
ClusterID:541,1,0,0, NaN
ClusterID:542,1,0,0, NaN
ClusterID:543,1,0,0, NaN
ClusterID:544,1,0,0, NaN
ClusterID:545,1,0,0, NaN
ClusterID:546,1,0,0, NaN
ClusterID:547,1,0,0, NaN
ClusterID:548,1,0,0, NaN
ClusterID:549,7,80,0, NaN
ClusterID:550,1,0,0, NaN
ClusterID:551,12,550,0, NaN
ClusterID:552,1,0,0, NaN
ClusterID:553,1,0,0, NaN
ClusterID:554,1,0,0, NaN
ClusterID:555,1,0,0, NaN
ClusterID:556,1,0,0, NaN
ClusterID:557,1,0,1, ['IDO2']
ClusterID:558,1,0,0, NaN
ClusterID:559,1,0,0, NaN
ClusterID:560,1,0,1, ['TDO2']
ClusterID:561,1,0,0, NaN
ClusterID:562,1,0,0, NaN
ClusterID:563,1,0,0, NaN
ClusterID:564,1,0,0, NaN
ClusterID:565,1,0,0, NaN
ClusterID:566,1,0,0, NaN
ClusterID:567,1,0,0, NaN
ClusterID:568,1,0,0, NaN
ClusterID:569,1,0,0, NaN
ClusterID:570,1,0,0, NaN
ClusterID:571,1,0,0, NaN
ClusterID:572,1,0,0, NaN
ClusterID:573,1,0,0, NaN
ClusterID:574,1,0,0, NaN
ClusterID:575,1,0,0, NaN
ClusterID:576,1,0,0, NaN
ClusterID:577,1,0,0, NaN
ClusterID:578,1,0,0, NaN
ClusterID:579,1,0,0, NaN
ClusterID:580,1,0,0, NaN
ClusterID:581,1,0,0, NaN
ClusterID:582,1,0,0, NaN
ClusterID:583,1,0,0, NaN
ClusterID:584,1,0,0, NaN
ClusterID:585,1,0,0, NaN
