	Size	liver_PPI
ClusterID:782	1	0
ClusterID:783	3	3
ClusterID:784	9	29
ClusterID:785	1	0
ClusterID:786	6	6
ClusterID:787	7	11
ClusterID:788	1	0
ClusterID:789	28	287
ClusterID:790	7	10
ClusterID:791	1	0
ClusterID:792	1	0
ClusterID:793	3	2
ClusterID:794	5	7
ClusterID:795	1	0
ClusterID:796	4	6
ClusterID:797	3	2
ClusterID:798	5	5
ClusterID:799	3	2
ClusterID:800	1	0
ClusterID:801	12	47
ClusterID:802	2	1
ClusterID:803	3	2
ClusterID:804	7	15
ClusterID:805	2	1
ClusterID:806	10	30
ClusterID:807	4	5
ClusterID:808	1	0
ClusterID:809	10	32
ClusterID:810	1	0
ClusterID:811	3	2
ClusterID:812	1	0
ClusterID:813	2	1
ClusterID:814	1	0
ClusterID:815	1	0
ClusterID:816	2	1
ClusterID:817	17	122
ClusterID:818	1	0
ClusterID:819	3	2
ClusterID:820	2	1
ClusterID:821	1	0
ClusterID:822	1	0
ClusterID:823	2	1
ClusterID:824	4	5
ClusterID:825	1	0
ClusterID:826	2	1
ClusterID:827	1	0
ClusterID:828	5	9
ClusterID:829	1	0
ClusterID:830	9	20
ClusterID:831	3	2
ClusterID:832	3	2
ClusterID:833	3	2
ClusterID:834	1	0
ClusterID:835	12	25
ClusterID:836	3	3
ClusterID:837	2	1
ClusterID:838	4	3
ClusterID:839	1	0
ClusterID:840	3	2
ClusterID:841	1	0
ClusterID:842	8	28
ClusterID:843	1	0
ClusterID:844	2	1
ClusterID:845	3	3
ClusterID:846	2	1
ClusterID:847	11	18
ClusterID:848	1	0
ClusterID:849	3	2
ClusterID:850	1	0
ClusterID:851	2	1
ClusterID:852	1	0
ClusterID:853	1	0
ClusterID:854	1	0
ClusterID:855	8	28
ClusterID:856	3	3
ClusterID:857	1	0
ClusterID:858	1	0
ClusterID:859	1	0
ClusterID:860	2	1
ClusterID:861	13	60
ClusterID:862	2	1
ClusterID:863	1	0
ClusterID:864	2	1
ClusterID:865	1	0
ClusterID:866	6	15
ClusterID:867	1	0
ClusterID:868	9	36
ClusterID:869	3	3
ClusterID:870	1	0
ClusterID:871	1	0
ClusterID:872	1	0
