Genes	ids
CPT1A	730
B3GALT6	731
ATP8B2	732
MAT1A	733
CYP2A6	734
SLC16A3	735
SAT2	736
KMT2D	737
SLC2A6	738
FPGS	739
CHST4	740
SLC3A2	741
SLC22A5	742
SLC4A1	743
UQCRB	744
SLC29A2	745
SGPL1	746
SPTLC3	747
AGXT	748
TPTE2	749
CH25H	750
CA9	751
GMPPA	752
DCTD	753
CA4	754
SLC26A11	755
SLC17A5	756
PDE6D	757
BAAT	758
NDUFS2	759
ECI1	760
SLC17A3	761
SOD1	762
SMPD1	763
SLC25A22	764
INPP4B	765
CP	766
HS3ST6	767
B3GALT4	768
AMY2A	769
CYP39A1	770
ABCA4	771
ALG10	772
RRM2B	773
SLC12A3	774
CYP4V2	775
ENTPD8	776
SULT1E1	777
PIK3C2B	778
DBT	779
ENO1	780
TBXAS1	781
SLC20A2	782
PLD3	783
NOS1	784
SLC7A1	785
AASS	786
SPTLC1	787
HAAO	788
PFKL	789
SLC25A13	790
SLC29A1	791
RDH5	792
SLC16A2	793
PAFAH1B1	794
ADCY5	795
EBP	796
NDUFA13	797
ATP1A3	798
ALDH1B1	799
RDH8	800
COX7B	801
PTGS2	802
LPIN2	803
RALBP1	804
FN3K	805
TALDO1	806
PMPCA	807
ATP8B1	808
GGH	809
MTMR8	810
ATHL1	811
CERS1	812
HACL1	813
RPP14	814
LIPG	815
CHDH	816
GGPS1	817
ABCC5	818
FAAH2	819
ADHFE1	820
GAD1	821
SLC7A6	822
IDO2	823
PGAM2	824
ADI1	825
UAP1	826
SLC2A9	827
344967_AT1	828
FUT7	829
HAS3	830
SLC2A2	831
NPR1	832
UCK1	833
MTR	834
SLC38A1	835
ACAT2	836
FDFT1	837
ACYP1	838
B4GALT2	839
COX7A1	840
DECR1	841
PDHA1	842
SLC10A2	843
GLA	844
ND3	845
AHCY	846
NOS2	847
ALOX5	848
SLC1A6	849
PLA2G2F	850
SLC26A6	851
PLA2G1B	852
GSR	853
ACSM4	854
PFKFB2	855
ALG1L	856
SLC13A3	857
GYG2	858
ACO2	859
ABCB4	860
SLC7A3	861
KMT2C	862
AKR1C4	863
ATP11C	864
GGT7	865
PDE6G	866
MAT2B	867
MPO	868
NSD1	869
NAGLU	870
ENO3	871
SAT1	872
EHMT1	873
SLC22A4	874
DPYSL2	875
AKR7A2	876
WHSC1L1	877
CYP4B1	878
TDO2	879
CYP21A2	880
AZIN2	881
INPP5A	882
SLC38A2	883
UCP1	884
GALC	885
RHBG	886
C1GALT1	887
B4GALNT2	888
CHSY1	889
IDUA	890
PSAT1	891
PDE3B	892
FTL	893
HSD17B8	894
NDUFB7	895
HSD11B1	896
GPX3	897
SLC25A19	898
KCNJ8	899
SLC47A1	900
EXT2	901
STRA6	902
SLC52A2	903
ACAT1	904
NMNAT1	905
IMPA1	906
PAPSS1	907
POGLUT1	908
P4HA3	909
ACSM2B	910
SLC8A1	911
FABP3	912
PHPT1	913
PNLIP	914
TST	915
NDUFA7	916
DGKE	917
GALNT4	918
GK	919
HADHB	920
CHAT	921
TNNI3K	922
INPP5F	923
MGEA5	924
SDHC	925
B4GALNT3	926
NDUFA5	927
GMPS	928
PLPPR3	929
INPP5E	930
CHST11	931
SLC9A8	932
PIP5K1A	933
PI4K2A	934
SLC16A7	935
SLC18A3	936
GCH1	937
PIGW	938
SLC9A3	939
SMPD3	940
PPAT	941
PCBD2	942
PLPP5	943
AKR1C2	944
LBR	945
CYP2J2	946
PYCRL	947
LDHAL6A	948
UQCR11	949
PMM2	950
RWDD2A	951
LPIN1	952
PRDX3	953
PLD2	954
SLCO1B3	955
DIO2	956
TMEM27	957
SLC34A1	958
GBGT1	959
AOC1	960
ETNK2	961
SLC2A12	962
SLCO1B1	963
PXDN	964
BCKDHA	965
MGAT5B	966
ABCD2	967
NDUFA11	968
SLCO2B1	969
PLCD3	970
ACAA1	971
FBP2	972
ASPG	973
ATP8A1	974
NEU1	975
HSD11B2	976
LAP3	977
ABCC2	978
IP6K3	979
ADCY6	980
NUDT5	981
ADH4	982
SLC5A6	983
ALOX15B	984
NOL9	985
SHMT1	986
SLC35D2	987
ND1	988
LPL	989
ELOVL7	990
NDUFB3	991
AKR1C3	992
SDR16C5	993
NDUFB8	994
ENPP7	995
UPB1	996
PRODH	997
PTGES2	998
PMM1	999
ACOT11	1000
ST3GAL3	1001
ATP4B	1002
ALPPL2	1003
HK2	1004
HMGCL	1005
HAS1	1006
GLS2	1007
CNDP2	1008
ALAD	1009
HNMT	1010
SLC12A4	1011
SLC46A1	1012
CA7	1013
CERS3	1014
PHYKPL	1015
GLYCTK	1016
NDUFA3	1017
CA5B	1018
FADS1	1019
SLC22A6	1020
ACP2	1021
GMPR2	1022
SLC22A9	1023
FABP4	1024
LCT	1025
MAT2A	1026
ST3GAL1	1027
NANP	1028
EPHX2	1029
AUH	1030
HSD17B10	1031
XDH	1032
UROS	1033
B3GALNT1	1034
SLC37A4	1035
PTGDS	1036
PKLR	1037
AOC3	1038
CYP27B1	1039
KMO	1040
CYP3A43	1041
PDE11A	1042
PLD4	1043
SETDB2	1044
PLPPR2	1045
ST3GAL4	1046
HK3	1047
BPGM	1048
PGAM1	1049
ACLY	1050
CDO1	1051
PYCR2	1052
SLCO3A1	1053
OGDH	1054
NT5E	1055
OTC	1056
IL4I1	1057
ACER3	1058
ST8SIA1	1059
VNN3	1060
ABCB1	1061
PAICS	1062
MTMR1	1063
LTC4S	1064
DIO3	1065
OXCT1	1066
PLCXD2	1067
ABCA8	1068
SLC5A11	1069
ELOVL3	1070
SLC35A3	1071
TKTL2	1072
FUT9	1073
PIGV	1074
GPX1	1075
SOD2	1076
SLC4A4	1077
ATP2B2	1078
HPGD	1079
SLC36A1	1080
CTPS2	1081
MGLL	1082
CA5A	1083
COL4A3BP	1084
CERS5	1085
SLC2A13	1086
DGKH	1087
SPHK2	1088
DAO	1089
PRDX2	1090
PNLIPRP2	1091
CMPK1	1092
PLPP4	1093
CKM	1094
SLC16A8	1095
SLC4A7	1096
PTEN	1097
HAL	1098
PANK1	1099
GPX7	1100
CYP51A1	1101
MINPP1	1102
GAPDHS	1103
ADCY9	1104
INPP1	1105
EXT1	1106
AGPAT3	1107
HACD3	1108
AK2	1109
HMOX2	1110
PHYH	1111
NOS3	1112
DLAT	1113
KMT2E	1114
HSD17B12	1115
FUT5	1116
ABCB6	1117
CHST2	1118
CYP3A7	1119
NDUFA6	1120
ENPP2	1121
HMGCR	1122
LPO	1123
MPST	1124
PIGO	1125
PLA2G2D	1126
SPCS1	1127
RENBP	1128
SMPD2	1129
ST3GAL2	1130
NDUFS6	1131
RPIA	1132
AQP10	1133
MPC1	1134
HIBADH	1135
ENOPH1	1136
ABCC3	1137
SLC6A13	1138
GALNT7	1139
PDE4C	1140
SETD2	1141
IP6K1	1142
HS2ST1	1143
MAOA	1144
PIK3R3	1145
AHCYL1	1146
MIOX	1147
SPHK1	1148
NDUFB11	1149
HSD17B1	1150
B3GALNT2	1151
UGT2B15	1152
B3GALT5	1153
MTMR3	1154
AK7	1155
CAT	1156
PIGH	1157
NADSYN1	1158
ARG2	1159
FADS3	1160
FOLR3	1161
PDPR	1162
LDHA	1163
XYLB	1164
NDUFA8	1165
SLC1A2	1166
RRM1	1167
ACY1	1168
PIK3R2	1169
CAD	1170
UMPS	1171
NDUFA12	1172
GBE1	1173
ATP1A4	1174
PTDSS1	1175
SLC6A7	1176
2713_AT1	1177
ACER2	1178
BSG	1179
CHKA	1180
FUT4	1181
CHST13	1182
CSGALNACT1	1183
UGT1A9	1184
TPSAB1	1185
TYMS	1186
ST6GALNAC6	1187
NME4	1188
SLC28A2	1189
PHEX	1190
ACSS3	1191
PHGDH	1192
PEMT	1193
GLRX	1194
PLPP2	1195
BCO1	1196
B3GNT6	1197
SUV39H2	1198
CHST3	1199
ADCY7	1200
ACACA	1201
NDUFS1	1202
B4GALT6	1203
GPAT4	1204
GALNT14	1205
TPP1	1206
CYP4F12	1207
HSD17B4	1208
CTPS1	1209
SLC15A2	1210
ASAH2	1211
HADHA	1212
CPA1	1213
LDHB	1214
PDE8A	1215
ACE2	1216
GSS	1217
HIBCH	1218
SLC25A2	1219
UQCRQ	1220
HK1	1221
AQP8	1222
ACSM1	1223
ADH5	1224
ACY3	1225
SOAT1	1226
CHST6	1227
STT3A	1228
TK1	1229
SLC14A2	1230
PNPLA4	1231
FASN	1232
DIO1	1233
MANSC1	1234
MTHFD1	1235
MANBA	1236
GUCA1A	1237
SDHB	1238
DHFR	1239
AMDHD2	1240
CPA2	1241
PGM2	1242
SLC38A5	1243
UGT2B7	1244
TKT	1245
CRLS1	1246
FTH1	1247
PTGES3	1248
FADS6	1249
PIGX	1250
PIGL	1251
NDUFA10	1252
HSD3B1	1253
ADO	1254
ACSL6	1255
SLC17A7	1256
SETD1B	1257
SLC25A11	1258
PDE1B	1259
MTAP	1260
HSD17B7	1261
GLT8D2	1262
SETMAR	1263
ACADS	1264
TPO	1265
BDH1	1266
HS3ST1	1267
GMPR	1268
SLC26A9	1269
PIPOX	1270
SLC12A5	1271
SLC29A3	1272
SETD1A	1273
