T,NT,Study
448.3076504868309,437.9805818841694,Study A
505.4498895838763,509.93534837751224,Study A
1648.4199057819114,2003.9618152648006,Study A
1520.2308611663843,1836.0111630229246,Study A
373.03873783949246,395.4297873869615,Study A
16.275442801809543,17.047152223635543,Study A
1069.0391898900866,992.9060501374416,Study A
1254.9249737647606,1328.6816547488713,Study A
640.6351558065717,742.893900858102,Study A
459.5125053018552,428.92515225820654,Study A
17.361653950865257,15.816869150254792,Study A
7.870804835243155,8.026974688625616,Study A
45.13457777778123,41.985175301573925,Study A
6.3768226794586385,4.610920661141973,Study A
25.221896913245903,23.155630509067592,Study A
1.2925690529048222,1.0117720876185712,Study A
1328.145833308727,1401.9729093593548,Study A
517.6855458637496,560.636982978763,Study A
5373.421456364426,7106.542595254388,Study A
943.2866837963297,996.0655778773155,Study A
1140.4467491223315,1096.6737326613231,Study A
3274.930504599195,3344.297345220744,Study A
63.861691471600174,58.91152163901452,Study A
11.24192493820672,22.929037513113766,Study A
6029.772572420087,8045.522857898677,Study A
5394.145459088874,6740.083788954934,Study A
614.3633737737309,656.2672108850871,Study A
3.7405986046207254,2.974661528367808,Study A
1005.1226110936121,1408.6021678555446,Study A
5.294754093871315,6.376305393282841,Study A
532.1214928035489,539.6486271399934,Study A
1903.5239861874968,2112.874590557515,Study A
1561.7555919360852,1537.0171410066957,Study A
8.892253449850015,9.649572620333048,Study A
4064.0166677584557,3846.893421449657,Study A
56.41640442622332,49.28430158924098,Study A
50548.51836236026,53513.119561964355,Study A
24.339647959403486,18.422133120897342,Study A
31320.7610759073,33003.50110005655,Study A
30.259421597224833,28.54628718379743,Study A
331.65800328675306,284.7814944219062,Study A
13.676095187842703,14.387956115148757,Study A
319.478947950398,299.0192267901463,Study A
2.082300108738141,2.1995719108888774,Study A
1.1127889814633556,0.7998170804267868,Study A
0.581398147843979,0.43166959890339834,Study A
1.521101707622443,1.162240253056323,Study A
2334.6655954239754,2347.20319717129,Study A
9.292356523424928,7.750289341650781,Study A
15.116765138096772,14.018408276309685,Study A
8.400761089193725,6.158677152468191,Study A
2556.3415272219067,2575.1322954805973,Study A
379.041420899027,366.42310710189514,Study A
1448.5696949102153,1445.4093455500804,Study A
1205.88595641748,1152.6997094757357,Study A
874.0134900357002,848.7885779614577,Study A
844.167392118302,843.0231392851542,Study A
