gene,t-statistic,adj_p-value,effect size
PACSIN1,3.503430775081058,0.0008473694296680598,0.6338879210066815
FAM72D,3.5344320982421067,0.0008159093047079314,0.6340736988665541
LTBP3,3.4382861527861244,0.0009425584839068821,0.6342757384824493
IL34,3.4521892366268596,0.0009166996131108392,0.6343256525303992
OTUB1,3.4753367910343664,0.0008793360821544749,0.6343645116961102
TIGD3,3.4911999366075848,0.0008573917303626179,0.6343938526451706
PTPRR,3.469799667780988,0.0008871200824343161,0.6344264681312322
GNPDA2,3.4902790161536923,0.000857581694058929,0.6345076751305824
SETDB1,3.476794093332958,0.000875667442696876,0.6345554725097857
ZNF33BP1,3.4019403449976173,0.001020206159403016,0.634608126882715
RHBDL1,3.512814555611824,0.0008291559384277283,0.6347334596722511
ZNF625,3.5195925409989526,0.0008221907570816957,0.6347424046895283
C11orf49,3.501751490943566,0.000841133747353878,0.6347682468433342
DCLRE1C,3.4151863226947228,0.000987995223944483,0.6347759810778147
TMEM200A,3.4387951588633654,0.0009379511578547899,0.6348339441417191
GDPD3,3.5318773763249016,0.0008058621158663226,0.6352397915087487
ARFGAP1,3.457432418619382,0.0009009171503048608,0.6352709638408057
SKP2,3.5087232250328935,0.0008285335850682589,0.6352748433660721
NVL,3.5050309665318937,0.0008320798610763591,0.6353478769727039
RCBTB1,3.460268339175693,0.0008937500119108395,0.6356017072625136
CDK4,3.536730144921448,0.0007977032209604886,0.635634168747808
ASB18,3.571906099878976,0.0007739272586298822,0.635669703352371
