,t-statistic,p-value,effect size
9353,2.5110113091928454,0.014703716245345014,0.4642634800134216
2457,2.427095969129664,0.017321742232044298,0.4643006781819569
4826,2.5394228342420795,0.014060115552493471,0.46435416027308335
697,2.5256567673737065,0.014343019756294553,0.46448569770988923
14717,2.4390221797117824,0.016869096927269202,0.4644963861990479
16982,2.495920154370559,0.015074738936215595,0.4644982840347542
9189,2.4478983259215266,0.016552119748102313,0.46452624661939834
4243,2.4737047418580578,0.015709410396393637,0.4645408137732544
5078,2.5371506491511617,0.014085455873998062,0.46459700232085205
7826,2.519961828197673,0.01446305447639206,0.464612116074832
18149,2.469000462599287,0.015846262771282676,0.4646968005383883
12497,2.4655074630865537,0.015955719110688247,0.4647160517505454
17055,2.5415183882425243,0.013985123148450818,0.46471969337216024
4157,2.5457912910181526,0.013898649853119753,0.4647348205543673
3200,2.371335622853709,0.019747530685162756,0.46503461797774875
1097,2.4529786050164684,0.016353530884859427,0.4650545124476044
13213,2.5399199971194775,0.013973834731466007,0.46522285511745415
3561,2.546450775606678,0.013837142028492785,0.4652739272542644
14855,2.546404258212571,0.013836504581666728,0.46529141838637234
3524,2.5057937721653736,0.014758613045350727,0.46531958254044586
16485,2.5278409246981783,0.014225264520814292,0.46533659950899087
4032,2.5307582458597517,0.01415876525627503,0.46535479779214134
2835,2.5275060607416138,0.014230682999455518,0.4653633009960409
13211,2.5392162631971713,0.013976376458995948,0.46536388435584813
13037,2.491105882602615,0.01514839934170365,0.46541120270762054
18631,2.4477649274636977,0.016515996980384362,0.46549234648006715
13743,2.4170346018471793,0.017683710777931398,0.4654977803799023
620,2.4196010220400983,0.017577585555111713,0.46557473765849106
9538,2.530636639858469,0.014141353097220654,0.46560404056428
18380,2.4843204960379777,0.015323147949327869,0.4657504220525249
2924,2.45270724935269,0.016332379307256912,0.46575641879820867
17790,2.526031477739236,0.014233125766577646,0.4657600425662286
195,2.539266276710284,0.01394182189469211,0.4657601602325243
9022,2.4690408995043986,0.015789708680904378,0.46576564145244037
5565,2.499106924680187,0.014902144576742448,0.46581682615329945
17917,2.5370810943989777,0.013982979625520383,0.46582297873101597
9255,2.5107638770107163,0.014595385148870349,0.46584232973281325
10929,2.441334624260232,0.01673352571095742,0.46584268556566233
15242,2.476302302189463,0.015556841555192307,0.4658781654837911
14282,2.5210473729432827,0.014340367219305565,0.46588151151602103
16653,2.52026644361421,0.014357886406893628,0.4658961482494762
441,2.4537551824432846,0.016289530845405208,0.4659141162099648
5898,2.5511115801494024,0.013667042251020495,0.4661575325957666
14411,2.5015288434928915,0.014813881472737636,0.4661744844637747
14208,2.4344339631148597,0.01697902871464528,0.46618051715856984
15089,2.437857447494455,0.016849744570458652,0.4661918322002603
14797,2.4745577827255754,0.015590711177882972,0.46626368895526327
8969,2.457262263905428,0.0161502855030997,0.46636207043997185
15299,2.4598116464884034,0.016063791819290567,0.46636526251856575
8963,2.4681028275195573,0.015789307943813023,0.46638941972639064
2317,2.4755028416675366,0.015552044453918834,0.46644464683184894
12281,2.4625595913153946,0.01596721019539841,0.4664702460671608
2303,2.4324198466252906,0.017045784019113747,0.4665053515043478
14240,2.499161376567332,0.014847825126346888,0.4666569971930481
18156,2.466208078162722,0.015836742915529504,0.46669256709668844
17503,2.444659305446788,0.016576619284983808,0.4668291818893302
8500,2.5133291203706447,0.014460291213103073,0.46686322214387255
13761,2.415312240563816,0.01772211237614806,0.4668770466564982
7442,2.4918623908613755,0.015033881806201074,0.4669774073997324
8522,2.507439079695012,0.014604790182987824,0.46698169877106116
17625,2.4307797185412596,0.017094186273538224,0.46702074065653787
15892,2.4737465787037793,0.015576676632825196,0.4670589604648093
2225,2.4209103343934983,0.017485091177342087,0.46713983862026903
3704,2.438129257810538,0.016807821889297973,0.4671643752734736
12981,2.495613667169659,0.014914598199276013,0.4671924467398108
19280,2.47563153490187,0.015510108705412279,0.46720493787733436
14189,2.4676935589664537,0.015763485970779957,0.4672347178123789
14323,2.4670736279836984,0.015782329981205028,0.46726821817982983
11850,2.4904594980293395,0.015056529835221774,0.46729631217970524
6190,2.458231707436447,0.01607661182677706,0.46733989501848006
345,2.517256540790861,0.014327945560490345,0.46735571943606063
10445,2.471236148279991,0.015635666334355317,0.46751242463626325
15010,2.4904562152977676,0.015044441950310513,0.4675176484540496
12467,2.435948062692891,0.0168792416233044,0.46754721465248045
12755,2.4741185971245447,0.015539879866120002,0.46758395838613187
19287,2.4608876364094185,0.015971240352825423,0.46769804839631174
12248,2.442255200038098,0.016635798491374237,0.46771018597017133
6037,2.562788737564477,0.013299715631232115,0.4677875625042399
1142,2.450415250710251,0.016333267297416753,0.467822361743905
13915,2.5552469524522343,0.013440567293223578,0.4678405987156451
7544,2.494728080439219,0.01490130483331167,0.4678697950723328
11259,2.5128512050068372,0.014404179055265321,0.46790321992628725
5371,2.5575616524179936,0.013386000186665827,0.4679472857450593
3848,2.443398466580165,0.016585136851604898,0.4679658584594305
7942,2.5651307287726945,0.01323821547890276,0.4679899488408797
7956,2.492597044879654,0.014955585924770183,0.46800314576943325
9008,2.4332858747034343,0.016966196480595216,0.4681267989473274
5485,2.4315763963799055,0.017032939376733596,0.4681389489690715
8283,2.4030614727898563,0.018229207264115577,0.4682041032307613
10114,2.448472091126691,0.016390067941226,0.4682192530374425
13558,2.456605138194262,0.016095648245208375,0.4683168601849898
4288,2.5019544382202623,0.01466951438584379,0.46835758424701535
19440,2.434761811459378,0.016901225479414212,0.4684086692336946
10536,2.525030812485176,0.014058679461068911,0.46849299410786305
2353,2.553692158088121,0.013415852218418269,0.4685178279453416
12419,2.4639610180436735,0.015829760741010546,0.4686244752700932
8427,2.50036585027854,0.014693035201956814,0.4687294146415436
2950,2.549927062952873,0.013474162395004494,0.4687624623503163
3753,2.506771766336319,0.01451264476576197,0.468775334187538
7920,2.489070197821291,0.01501837664466509,0.4687986829300247
1625,2.5123670137482943,0.014359924049223236,0.4688162797589657
6285,2.4982684587190316,0.01474686088585861,0.4688347297418185
7569,2.516853640230035,0.014240078696903944,0.46885926710475806
1381,2.4287990048996893,0.01712577978414868,0.46888264975444055
11759,2.56816355450136,0.013102307558288324,0.46890103080174567
16667,2.4461536675956,0.016453498474034715,0.4689138093361593
1719,2.482422184763007,0.015215038026291703,0.46893662117309143
14032,2.540672245661896,0.01365815522129656,0.4689827368396164
10036,2.5687145230723063,0.013080894944909237,0.46903051561966735
5031,2.491091846635003,0.014945606996528613,0.4690431559427837
14933,2.535122493274484,0.01377975715583032,0.46905142247601234
1831,2.5672386714799957,0.013105076364655516,0.46906944533061745
16755,2.4914665407146765,0.014929197647468204,0.469147431568132
8064,2.5669428878186746,0.013101186462236432,0.4691803361030088
