gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
PNPLA4,0,11.54204,0.22725,0.60282,0,19.27708,42.42672,1.12862,1.75138,3.91327,0.47675,0.49145,1.44276
MYH13,0,0,0,0,0,0,0,0,0,0.08153,0,0,0
ADIPOR2,227.57779,9.00279,31.70109,1.30612,14.34099,77.35079,62.39765,28.01037,0.87569,115.76769,132.85558,19.0436,88.0081
CDKL3,3.12919,1.03878,0.4545,1.708,1.85902,0.12124,0.36813,2.25725,0,4.56549,0.31784,1.84293,2.01986
UPP2,0.14224,2.77009,33.63269,0,5.84263,0.72744,0,0.82082,0,0.24458,10.01184,1.35148,0
PRSS21,0,0,0,0,0.26557,0,0,0.1026,0,0.08153,0,0,0
MARK4,22.0466,0.34626,0.4545,9.04234,12.74755,39.52407,28.43787,1.12862,0,3.09801,4.13187,2.82582,30.58642
PROM1,0,2.30841,0,1.708,0,7.75933,0.09203,0.1026,2.10166,103.37566,0,1.35148,6.34813
CCDC124,0.14224,0.11542,0.34087,2.10988,1.59344,50.07191,5.15379,57.66237,2.2768,0.40763,0.31784,4.42303,4.61682
CEACAM21,0,0,0.11362,0,0,1.69735,1.47251,0,0,0,1.43026,0.12286,0.28855
PAFAH1B1,79.08328,1.1542,0.68174,1269.64499,11.95083,4.48586,9.66335,104.44892,52.8918,154.65585,73.42019,32.927,26.83526
NOS2,0,0.46168,0,0,0,0,0.09203,2.25725,0,1.14137,2.86053,0,0.86565
DNAH9,0,0.11542,0,0.20094,1.0623,0.72744,0,0,0,5.29923,0,0.12286,1.1542
KIAA0100,159.16222,42.70555,252.92695,117.65089,37.7115,4.36462,71.87694,273.94756,0.17514,161.2595,28.76419,1078.48225,115.70901
SLC13A2,0,0.23084,1.02262,0,0.53115,0.12124,0.09203,0.2052,0.87569,0,0,0,0.5771
GAS7,2.98696,80.21718,1.47711,10.64987,7.43607,4.97082,0.18406,3.59107,0.17514,2.20122,0.47675,23.95808,77.62026
TRAPPC6A,1.42236,0.11542,0,6.83199,0.53115,34.18953,7.45459,0.2052,50.615,6.84823,1.58918,2.70296,2.30841
MATK,0,0.34626,0,0.20094,0.26557,0.36372,3.86534,0,0.87569,1.2229,1.58918,0.36859,0.86565
CEACAM7,0,0,0,0,0,0,0,0,0,0,0.15892,0,0
CD79B,0.56894,0,1.81798,4.32023,0,0.12124,0,2.46245,0,0,0,5.52879,0.28855
SCN4A,2.98696,0.11542,1.47711,3.11458,0,0.36372,0,0.92342,0,0,2.54269,7.49458,0.5771
ST7L,0.14224,0.34626,0.34087,18.18515,3.98361,8.608,5.89004,2.35985,0.52542,29.92024,0.15892,3.563,5.19392
TKTL1,0,0.80794,0,0.80376,0,3.15223,0,0,0,1.63053,0,0,0
PAX6,0.71118,0,0.56812,1.60753,1.32787,0.48496,4.04941,1.23122,0.70055,1.30442,0,1.35148,3.17406
RPUSD1,0,0,0,0.20094,1.59344,9.69916,24.4805,0.71821,2.62708,0.24458,6.19781,14.8663,2.59696
RHBDF1,0.42671,1.26962,0.11362,26.32326,9.29509,16.00361,16.56575,70.07722,31.87519,1.2229,98.05251,3.563,7.79088
LUC7L,0,5.42476,0.11362,361.59312,16.99673,77.83575,19.23468,141.07786,30.29894,3.66869,174.80998,59.58805,12.9848
CACNA2D2,0,0.11542,0,0,0,0.48496,0,0,0.17514,6.60365,0,0,1.73131
BAIAP3,0.71118,0,0,7.83669,5.84263,4.97082,29.81835,18.98139,1.40111,30.00177,11.12427,5.89737,4.32827
TSR3,0.85342,6.2327,0.22725,6.43011,13.01312,40.49399,87.06221,18.87878,0.70055,5.62533,18.91126,1.35148,0.86565
PIGQ,0,0.46168,0.34087,1.10517,8.76394,43.04002,81.44827,80.13223,0,2.20122,35.9155,39.68441,11.8306
CRAMP1,0,19.62147,0,18.6875,51.78691,16.00361,93.13632,7.79776,2.10166,68.07466,15.89182,10.19754,28.85512
TEAD3,0.14224,2.07757,20.11144,0.50235,0.26557,0.12124,11.13586,7.90036,0.17514,0,82.16069,27.15249,13.5619
SELE,1.5646,0,2.27248,3.01411,0.26557,0.72744,15.92153,5.64311,0,0.57069,6.83348,0.12286,3.17406
DNAJC11,0.28447,63.3658,10.45341,8.8414,5.57705,25.94525,9.93945,52.84007,0.52542,41.41548,31.14796,37.4729,5.48247
FMO3,516.31711,44.55227,308.26183,13.86492,8.23279,5.09206,82.00046,24.93231,61.47358,86.98882,687.47997,8.84606,8.07943
